"StudyID","Age","Cont_F","Point_obs","Mist_nets","Transect","Vocal","No_Methods","nspb_P","FRic_P","FEve_P","FDiv_P","FDis_P","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp"
14,11,"Yes",0,0,1,1,2,108,0.000307963604399355,0.994494073577175,0.81205051352715,0.0461408965328204,-0.312683374657198,-0.216471310284819,-0.000347542969159874,-0.0172745357762878,-0.0373017449510229
14,27.5,"Yes",0,0,1,1,2,108,0.000307963604399355,0.994494073577175,0.81205051352715,0.0461408965328204,-0.433635985074861,-0.507118653537979,-0.000311372986788474,0.00435286205355326,-0.0341845452779852
15,50,"No",1,0,0,1,2,17,8.04609274549816e-05,0.994587624004387,0.804116043208924,0.0522371788176267,0.211309093667207,3.00755386528478,-0.0127254861364159,-0.0660633935716012,0.282055692763092
16,5,"Yes",1,0,0,1,2,15,6.21103794285971e-05,0.994036323229026,0.830040251058898,0.0525981365496689,0,0.292189368798416,-0.00197224758299664,-0.0827847113124188,-0.00281834869531483
18,85,"Yes",1,0,0,1,2,29,9.85310039228519e-05,0.995046076207668,0.817085161579704,0.0460363618746313,0.321583624127462,0.542320564604534,-0.000770651778660602,-0.0162864115510931,0.0282040176006721
20,13,"Yes",0,0,0,1,1,59,0.000238353769074865,0.995016959041462,0.821959877102273,0.0461919601985057,0.266267977947964,0.120717666845852,-0.00103381564110734,0.00741444939886815,0.011870241609286
21,7,"No",1,1,1,1,4,91,0.00272955649620508,0.988423940179394,0.797944723464945,0.0580505031358436,-0.306166887125884,-2.22323770197476,0.00399592862480003,0.030279616627354,-0.173307664175528
22,10,"Unk",0,0,1,1,2,18,7.21061324698418e-05,0.991764211191499,0.793359042541014,0.0436359766678379,0,0,0,0,0
22,30,"Unk",0,0,1,1,2,18,7.21061324698418e-05,0.991764211191499,0.793359042541014,0.0436359766678379,0,0,0,0,0
24,20,"Yes",1,1,0,1,3,84,0.000379007782692111,0.99287336648049,0.85104287948889,0.0548516976817549,-0.353279354937594,-0.300448796794074,-0.000235311473137596,-0.00796869720726939,0.00552542977985748
25,50,"Yes",0,1,0,0,1,60,0.000252748273028499,0.993708410442039,0.801211743039855,0.0463229956739875,-0.265703165733005,-0.201641763311441,0.000139647486033327,0.00998620819953033,-0.135725367544891
26,9,"Yes",1,0,0,1,2,133,0.000416388778935534,0.98974781410207,0.831918618650226,0.0503884068630948,0.0149256502166759,2.00494506126389,-0.000352151525878046,-0.00696465008548505,0.0232376279956688
27,5,"Yes",1,0,0,1,2,47,0.000264097412826864,0.993046493207208,0.826623710934491,0.0488211234017901,-0.384411698910332,-0.15135948024667,0.000152487896821952,-0.0169235028916792,-0.0147615094155995
27,15,"Yes",1,0,0,1,2,47,0.000264097412826864,0.993046493207208,0.826623710934491,0.0488211234017901,-0.554310735705729,-0.406171206108175,-0.000177207775135623,-0.0451299529820577,-0.115617878564177
28,4,"Yes",1,0,0,1,2,153,0.00576313540612929,0.992472793962547,0.800888838393164,0.0537228278994348,-0.210156355787398,-2.74563894363983,0.00152400200218855,0.0175281123039055,-0.112856409585732
29,50,"Unk",1,0,0,1,2,104,0.00290351055210248,0.991995154039742,0.82478616538991,0.0514760524518072,0.126293725324293,-2.14203272075253,0.00225551226556841,0.0153294674931765,-0.0652096053950704
30,17.5,"Yes",0,1,0,0,1,63,0.002620340892388,0.989518822592602,0.837173975160166,0.0551959632205108,-0.532216813747308,-2.69170525822005,0.00232500470437347,-0.0187060832373445,-0.0647788025748
30,17.5,"No",0,1,0,0,1,63,0.002620340892388,0.989518822592602,0.837173975160166,0.0551959632205108,-1.00764051046238,-2.99509169044756,0.00238980903777427,-0.0775640590108352,-0.13756807390213
30,40,"No",0,1,0,0,1,63,0.002620340892388,0.989518822592602,0.837173975160166,0.0551959632205108,-0.117783035656383,-2.6188118961417,0.00319179617478131,-0.0084029535882631,-0.107164493774675
31,17.5,"Yes",1,1,0,1,3,50,0.00231205774694349,0.990480400407554,0.816010997072541,0.0535457692993235,0.307484699747961,0.583183908021399,0.000841475242080184,-0.00897233102311473,0.0679637571242915
33,4,"Yes",1,0,0,1,2,52,0.000257120798151045,0.992766253563227,0.838222190992319,0.0511607904703051,-0.395895657092014,-0.347452126241119,-0.00146440281218542,-0.0250280288609576,0.0169059953754171
33,3.5,"No",1,0,0,1,2,52,0.000257120798151045,0.992766253563227,0.838222190992319,0.0511607904703051,-1.17865499634165,-1.54370218878742,-0.00061563209693889,-0.0664748247629389,-0.127085818860864
33,5.5,"No",1,0,0,1,2,52,0.000257120798151045,0.992766253563227,0.838222190992319,0.0511607904703051,-0.485507815781701,-0.613854073884118,0.000132280461578241,-0.0259219643901297,-0.195604298270498
34,14,"No",1,0,0,1,2,32,0.000136604363767674,0.994158790947106,0.787658204584142,0.0475145791021796,-0.0317486983145803,-0.177286695889251,0.000287353017119884,-0.0109099947212983,-0.0329872452389517
34,5,"No",1,0,0,1,2,32,0.000136604363767674,0.994158790947106,0.787658204584142,0.0475145791021796,-0.0317486983145803,-0.177286695889251,0.000287353017119884,-0.0109099947212983,-0.0329872452389517
