SiteID,Study,Age,PF_SF,Point_obs,Mist_nets,Transect,Vocal,TaxonID,Species,Abundance,For_dep
2,1,5,SF,Yes,No,No,Yes,6001536,Psittacula roseata,0.03,Medium
2,1,5,SF,Yes,No,No,Yes,6001787,Apus affinis,0.1,Low
2,1,5,SF,Yes,No,No,Yes,6002503,Stigmatopelia chinensis,1.88,Medium
2,1,5,SF,Yes,No,No,Yes,6002534,Chalcophaps indica,0.08,Medium
2,1,5,SF,Yes,No,No,Yes,6002635,Treron pompadora,0.13,High
2,1,5,SF,Yes,No,No,Yes,6002715,Ducula aenea,0.55,Medium
2,1,5,SF,Yes,No,No,Yes,6003390,Spilornis cheela,0.25,Medium
2,1,5,SF,Yes,No,No,Yes,6003529,Ictinaetus malayensis,0.15,High
2,1,5,SF,Yes,No,No,Yes,6005784,Corvus macrorhynchos,0.23,Medium
2,1,5,SF,Yes,No,No,Yes,6005893,Oriolus xanthornus,0.03,Medium
2,1,5,SF,Yes,No,No,Yes,6005972,Pericrocotus cinnamomeus,0.28,Medium
2,1,5,SF,Yes,No,No,Yes,6005980,Pericrocotus flammeus,0.15,Medium
2,1,5,SF,Yes,No,No,Yes,6006036,Dicrurus caerulescens,0.23,Medium
2,1,5,SF,Yes,No,No,Yes,6006071,Terpsiphone paradisi,0.25,Low
2,1,5,SF,Yes,No,No,Yes,6006147,Aegithina tiphia,0.15,Medium
2,1,5,SF,Yes,No,No,Yes,6006569,Cyornis tickelliae,0.3,Medium
2,1,5,SF,Yes,No,No,Yes,6006647,Saxicoloides fulicatus,0.28,Non-forest
2,1,5,SF,Yes,No,No,Yes,6006841,Gracula religiosa,0.2,Medium
2,1,5,SF,Yes,No,No,Yes,6007180,Pycnonotus melanicterus,0.25,Medium
2,1,5,SF,Yes,No,No,Yes,6007196,Pycnonotus cafer,0.78,Medium
2,1,5,SF,Yes,No,No,Yes,6007848,Pellorneum fuscocapillus,0.18,Medium
2,1,5,SF,Yes,No,No,Yes,6007935,Rhopocichla atriceps,0.35,Low
2,1,5,SF,Yes,No,No,Yes,6007959,Turdoides rufescens,0.03,Medium
2,1,5,SF,Yes,No,No,Yes,6007960,Turdoides affinis,2.15,Non-forest
2,1,5,SF,Yes,No,No,Yes,6008271,Nectarinia zeylonica,0.2,Medium
2,1,5,SF,Yes,No,No,Yes,6008411,Motacilla flava,0.05,Non-forest
3,2,0,PF,Yes,Yes,No,Yes,60021,Crypturellus soui,,Medium
3,2,0,PF,Yes,Yes,No,Yes,60041,Crypturellus tataupa,,High
3,2,0,PF,Yes,Yes,No,Yes,60069,Ortalis guttata,,Low
3,2,0,PF,Yes,Yes,No,Yes,60088,Pipile cumanensis,,Medium
3,2,0,PF,Yes,Yes,No,Yes,600100,Mitu mitu,,High
3,2,0,PF,Yes,Yes,No,Yes,600541,Picumnus aurifrons,,High
3,2,0,PF,Yes,Yes,No,Yes,600578,Melanerpes cruentatus,,High
3,2,0,PF,Yes,Yes,No,Yes,600670,Veniliornis affinis,,High
3,2,0,PF,Yes,Yes,No,Yes,600675,Piculus leucolaemus,,High
3,2,0,PF,Yes,Yes,No,Yes,600704,Dryocopus lineatus,,Low
3,2,0,PF,Yes,Yes,No,Yes,600714,Campephilus melanoleucos,,Medium
3,2,0,PF,Yes,Yes,No,Yes,600831,Eubucco richardsoni,,High
3,2,0,PF,Yes,Yes,No,Yes,600837,Aulacorhynchus prasinus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,600848,Pteroglossus castanotis,,Medium
3,2,0,PF,Yes,Yes,No,Yes,600861,Selenidera reinwardtii,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,600908,Malacoptila fusca,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,600920,Nonnula ruficapilla,0.014,Medium
3,2,0,PF,Yes,Yes,No,Yes,600924,Monasa nigrifrons,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001020,Trogon curucui,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001312,Piaya cayana,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001554,Ara severus,,High
3,2,0,PF,Yes,Yes,No,Yes,6001575,Aratinga weddellii,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001653,Pionus menstruus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001681,Amazona ochrocephala,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001693,Streptoprocne rutila,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001703,Streptoprocne zonaris,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001801,Threnetes leucurus,0.014,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001805,Phaethornis superciliosus,0.032,High
3,2,0,PF,Yes,Yes,No,Yes,6001808,Phaethornis hispidus,0.032,High
3,2,0,PF,Yes,Yes,No,Yes,6001820,Phaethornis stuarti,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001825,Eutoxeres condamini,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001844,Florisuga mellivora,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001899,Thalurania furcata,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001915,Chrysuronia oenone,0.007,Medium
3,2,0,PF,Yes,Yes,No,Yes,6001937,Amazilia lactea,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6002205,Megascops watsonii,,High
3,2,0,PF,Yes,Yes,No,Yes,6002257,Pulsatrix perspicillata,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6002270,Glaucidium brasilianum,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6002488,Patagioenas plumbea,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6002582,Leptotila rufaxilla,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6002602,Geotrygon montana,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6003339,Elanoides forficatus,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003349,Harpagus bidentatus,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6003352,Ictinia plumbea,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6003484,Leucopternis albicollis,,High
3,2,0,PF,Yes,Yes,No,Yes,6003499,Buteo magnirostris,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003558,Spizaetus tyrannus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6003564,Ibycter americanus,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003573,Herpetotheres cachinnans,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003609,Falco rufigularis,,High
3,2,0,PF,Yes,Yes,No,Yes,6003817,Coragyps atratus,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003818,Cathartes aura,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003820,Cathartes melambrotus,,Low
3,2,0,PF,Yes,Yes,No,Yes,6003823,Sarcoramphus papa,,High
3,2,0,PF,Yes,Yes,No,Yes,6004044,Mionectes striaticollis,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004047,Mionectes macconnelli,0.035,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004092,Todirostrum chrysocrotaphum,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004130,Myiopagis gaimardii,,High
3,2,0,PF,Yes,Yes,No,Yes,6004141,Elaenia albiceps,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004210,Myiornis auricularis,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004212,Myiornis ecaudatus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004225,Tolmomyias assimilis,,High
3,2,0,PF,Yes,Yes,No,Yes,6004227,Tolmomyias flaviventris,,Low
3,2,0,PF,Yes,Yes,No,Yes,6004233,Platyrinchus platyrhynchos,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,6004248,Terenotriccus erythrurus,0.018,High
3,2,0,PF,Yes,Yes,No,Yes,6004371,Attila spadiceus,0.007,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004375,Rhytipterna simplex,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,6004436,Legatus leucophaius,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004451,Pachyramphus marginatus,,High
3,2,0,PF,Yes,Yes,No,Yes,6004461,Tityra semifasciata,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004517,Gymnoderus foetidus,,High
3,2,0,PF,Yes,Yes,No,Yes,6004519,Querula purpurata,,High
3,2,0,PF,Yes,Yes,No,Yes,6004533,Pipra fasciicauda,0.331,High
3,2,0,PF,Yes,Yes,No,Yes,6004564,Machaeropterus pyrocephalus,0.035,High
3,2,0,PF,Yes,Yes,No,Yes,6004585,Cymbilaimus lineatus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004612,Thamnophilus schistaceus,0.014,High
3,2,0,PF,Yes,Yes,No,Yes,6004613,Thamnophilus murinus,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,6004636,Thamnomanes ardesiacus,0.025,High
3,2,0,PF,Yes,Yes,No,Yes,6004653,Epinecrophylla haematonota,0.007,High
3,2,0,PF,Yes,Yes,No,Yes,6004655,Epinecrophylla ornata,0.014,High
3,2,0,PF,Yes,Yes,No,Yes,6004657,Myrmotherula axillaris,0.035,High
3,2,0,PF,Yes,Yes,No,Yes,6004668,Myrmotherula menetriesii,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004683,Herpsilochmus rufimarginatus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004705,Cercomacra cinerascens,,High
3,2,0,PF,Yes,Yes,No,Yes,6004719,Myrmoborus leucophrys,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004721,Myrmoborus myotherinus,0.014,High
3,2,0,PF,Yes,Yes,No,Yes,6004754,Pithys albifrons,0.021,High
3,2,0,PF,Yes,Yes,No,Yes,6004762,Rhegmatorhina melanosticta,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,6004768,Hylophylax naevius,0.014,High
3,2,0,PF,Yes,Yes,No,Yes,6004857,Synallaxis gujanensis,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6004860,Synallaxis cherriei,0.021,High
3,2,0,PF,Yes,Yes,No,Yes,6004986,Automolus ochrolaemus,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6005005,Xenops minutus,0.018,High
3,2,0,PF,Yes,Yes,No,Yes,6005017,Sittasomus griseicapillus,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6005018,Glyphorynchus spirurus,0.007,Medium
3,2,0,PF,Yes,Yes,No,Yes,6005030,Dendrocolaptes picumnus,,High
3,2,0,PF,Yes,Yes,No,Yes,6005058,Formicarius analis,,High
3,2,0,PF,Yes,Yes,No,Yes,6005105,Myrmothera campanisona,0.004,High
3,2,0,PF,Yes,Yes,No,Yes,6005559,Vireolanius leucotis,,High
3,2,0,PF,Yes,Yes,No,Yes,6005584,Vireo olivaceus,,High
3,2,0,PF,Yes,Yes,No,Yes,6005600,Hylophilus hypoxanthus,,High
3,2,0,PF,Yes,Yes,No,Yes,6005605,Hylophilus ochraceiceps,0.011,Medium
3,2,0,PF,Yes,Yes,No,Yes,6006982,Microcerculus marginatus,0.014,High
3,2,0,PF,Yes,Yes,No,Yes,6009219,Cissopis leverianus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009253,Hemithraupis guira,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009273,Lanio versicolor,,High
3,2,0,PF,Yes,Yes,No,Yes,6009281,Tachyphonus rufiventer,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009289,Habia rubica,0.018,High
3,2,0,PF,Yes,Yes,No,Yes,6009308,Ramphocelus carbo,0.004,Low
3,2,0,PF,Yes,Yes,No,Yes,6009313,Thraupis episcopus,,Low
3,2,0,PF,Yes,Yes,No,Yes,6009366,Euphonia chrysopasta,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009371,Euphonia rufiventris,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009375,Chlorophonia cyanea,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009383,Tangara mexicana,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009386,Tangara chilensis,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009393,Tangara schrankii,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009400,Tangara xanthogastra,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009405,Tangara gyrola,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009419,Tangara nigrocincta,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009430,Tangara callophrys,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009434,Dacnis lineata,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009438,Dacnis cayana,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009441,Chlorophanes spiza,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009444,Cyanerpes caeruleus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009630,Saltator grossus,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009633,Saltator maximus,0.004,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009646,Cyanocompsa cyanoides,0.032,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009658,Psarocolius decumanus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009661,Psarocolius angustifrons,,Medium
3,2,0,PF,Yes,Yes,No,Yes,6009668,Cacicus cela,,Medium
3,2,0,PF,Yes,Yes,No,Yes,39535965,Willisornis poecilinotus,0.011,High
3,2,0,PF,Yes,Yes,No,Yes,60031112,Momotus momota,0.007,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032142,Myrmotherula brachyura,,High
3,2,0,PF,Yes,Yes,No,Yes,60032159,Capito niger,,High
3,2,0,PF,Yes,Yes,No,Yes,60032179,Myrmeciza hemimelaena,0.102,High
3,2,0,PF,Yes,Yes,No,Yes,60032248,Dendrocincla fuliginosa,0.021,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032249,Xiphorhynchus guttatus,0.007,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032467,Pteroglossus azara,,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032471,Ramphastos tucanus,,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032512,Hypocnemis cantator,0.021,Medium
3,2,0,PF,Yes,Yes,No,Yes,60032666,Trogon viridis,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,60069,Ortalis guttata,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,600541,Picumnus aurifrons,0.007,High
4,2,7.5,SF,Yes,Yes,No,Yes,600663,Veniliornis passerinus,0.015,High
4,2,7.5,SF,Yes,Yes,No,Yes,600920,Nonnula ruficapilla,0.022,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001314,Coccycua minuta,0.015,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001321,Crotophaga ani,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6001693,Streptoprocne rutila,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001703,Streptoprocne zonaris,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001805,Phaethornis superciliosus,0.044,High
4,2,7.5,SF,Yes,Yes,No,Yes,6001808,Phaethornis hispidus,0.044,High
4,2,7.5,SF,Yes,Yes,No,Yes,6001834,Campylopterus largipennis,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001899,Thalurania furcata,0.015,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001915,Chrysuronia oenone,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001930,Amazilia chionogaster,0.066,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6001937,Amazilia lactea,0.037,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6002270,Glaucidium brasilianum,0.015,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6003339,Elanoides forficatus,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6003499,Buteo magnirostris,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6003563,Daptrius ater,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6003609,Falco rufigularis,,High
4,2,7.5,SF,Yes,Yes,No,Yes,6003817,Coragyps atratus,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6003818,Cathartes aura,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6004047,Mionectes macconnelli,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004083,Poecilotriccus latirostris,0.022,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6004088,Todirostrum cinereum,0.007,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6004092,Todirostrum chrysocrotaphum,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004141,Elaenia albiceps,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004212,Myiornis ecaudatus,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004227,Tolmomyias flaviventris,0.044,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6004387,Myiarchus ferox,0.022,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004408,Tyrannus melancholicus,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6004448,Pachyramphus polychopterus,0.066,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004564,Machaeropterus pyrocephalus,0.022,High
4,2,7.5,SF,Yes,Yes,No,Yes,6004593,Taraba major,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004601,Thamnophilus doliatus,0.022,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6004636,Thamnomanes ardesiacus,0.007,High
4,2,7.5,SF,Yes,Yes,No,Yes,6004762,Rhegmatorhina melanosticta,0.022,High
4,2,7.5,SF,Yes,Yes,No,Yes,6004845,Synallaxis albigularis,0.081,Non-forest
4,2,7.5,SF,Yes,Yes,No,Yes,6004857,Synallaxis gujanensis,0.066,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6005554,Cyclarhis gujanensis,,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6005605,Hylophilus ochraceiceps,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6006358,Myadestes ralloides,0.007,High
4,2,7.5,SF,Yes,Yes,No,Yes,6006948,Thryothorus coraya,0.066,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6006969,Troglodytes aedon,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6008998,Ammodramus aurifrons,0.007,Non-forest
4,2,7.5,SF,Yes,Yes,No,Yes,6009199,Coereba flaveola,0.007,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6009200,Conirostrum speciosum,,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6009250,Thlypopsis sordida,0.007,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6009308,Ramphocelus carbo,0.125,Low
4,2,7.5,SF,Yes,Yes,No,Yes,6009525,Volatinia jacarina,0.015,Non-forest
4,2,7.5,SF,Yes,Yes,No,Yes,6009551,Sporophila castaneiventris,0.037,Non-forest
4,2,7.5,SF,Yes,Yes,No,Yes,6009633,Saltator maximus,0.022,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,6009635,Saltator coerulescens,0.015,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,60031112,Momotus momota,0.015,Medium
4,2,7.5,SF,Yes,Yes,No,Yes,60032179,Myrmeciza hemimelaena,0.015,High
5,3,0,PF,Yes,No,No,No,60014,Tinamus major,0.4,High
5,3,0,PF,Yes,No,No,No,60020,Crypturellus cinereus,0.05,High
5,3,0,PF,Yes,No,No,No,60021,Crypturellus soui,0.4,Medium
5,3,0,PF,Yes,No,No,No,60023,Crypturellus obsoletus,0.05,High
5,3,0,PF,Yes,No,No,No,60025,Crypturellus undulatus,0.4,Medium
5,3,0,PF,Yes,No,No,No,60036,Crypturellus variegatus,2.9,High
5,3,0,PF,Yes,No,No,No,60082,Penelope jacquacu,1.8,High
5,3,0,PF,Yes,No,No,No,600100,Mitu mitu,0.2,High
5,3,0,PF,Yes,No,No,No,600324,Odontophorus gujanensis,0.6,High
5,3,0,PF,Yes,No,No,No,600663,Veniliornis passerinus,0.4,High
5,3,0,PF,Yes,No,No,No,600677,Piculus chrysochloros,0.1,Medium
5,3,0,PF,Yes,No,No,No,600693,Celeus grammicus,0.2,High
5,3,0,PF,Yes,No,No,No,600696,Celeus elegans,0.1,High
5,3,0,PF,Yes,No,No,No,600699,Celeus flavus,0.1,High
5,3,0,PF,Yes,No,No,No,600711,Campephilus rubricollis,0.7,High
5,3,0,PF,Yes,No,No,No,600831,Eubucco richardsoni,0.1,High
5,3,0,PF,Yes,No,No,No,600854,Pteroglossus beauharnaesii,0.3,High
5,3,0,PF,Yes,No,No,No,600884,Galbula albirostris,0.1,High
5,3,0,PF,Yes,No,No,No,600893,Galbula dea,0.1,Medium
5,3,0,PF,Yes,No,No,No,600912,Malacoptila rufa,0.1,Medium
5,3,0,PF,Yes,No,No,No,600914,Malacoptila mystacalis,0.05,High
5,3,0,PF,Yes,No,No,No,600915,Micromonacha lanceolata,0.1,Medium
5,3,0,PF,Yes,No,No,No,600925,Monasa morphoeus,4.1,Medium
5,3,0,PF,Yes,No,No,No,6001001,Pharomachrus pavoninus,0.4,High
5,3,0,PF,Yes,No,No,No,6001056,Baryphthengus martii,0.5,High
5,3,0,PF,Yes,No,No,No,6001305,Coccyzus euleri,0.05,Medium
5,3,0,PF,Yes,No,No,No,6001312,Piaya cayana,0.05,Medium
5,3,0,PF,Yes,No,No,No,6001554,Ara severus,0.1,High
5,3,0,PF,Yes,No,No,No,6001569,Aratinga leucophthalma,5,Medium
5,3,0,PF,Yes,No,No,No,6001594,Pyrrhura picta,2.3,Medium
5,3,0,PF,Yes,No,No,No,6001618,Forpus modestus,0.5,Medium
5,3,0,PF,Yes,No,No,No,6001640,Pionites leucogaster,0.5,High
5,3,0,PF,Yes,No,No,No,6001652,Graydidascalus brachyurus,0.6,Medium
5,3,0,PF,Yes,No,No,No,6001653,Pionus menstruus,1.7,Medium
5,3,0,PF,Yes,No,No,No,6001685,Amazona farinosa,0.5,Low
5,3,0,PF,Yes,No,No,No,6001691,Deroptyus accipitrinus,0.1,High
5,3,0,PF,Yes,No,No,No,6001756,Chaetura cinereiventris,,Medium
5,3,0,PF,Yes,No,No,No,6001801,Threnetes leucurus,0.5,Medium
5,3,0,PF,Yes,No,No,No,6001812,Phaethornis philippii,2.9,High
5,3,0,PF,Yes,No,No,No,6001819,Phaethornis ruber,0.05,Medium
5,3,0,PF,Yes,No,No,No,6001834,Campylopterus largipennis,0.4,Medium
5,3,0,PF,Yes,No,No,No,6001844,Florisuga mellivora,0.2,Medium
5,3,0,PF,Yes,No,No,No,6001899,Thalurania furcata,0.2,Medium
5,3,0,PF,Yes,No,No,No,6002348,Nyctibius grandis,,Medium
5,3,0,PF,Yes,No,No,No,6002395,Caprimulgus nigrescens,,Low
5,3,0,PF,Yes,No,No,No,6002484,Patagioenas cayennensis,0.2,Medium
